file_name,relative_path,json_path,markdown_path,size_bytes,modified_time_utc,sha256,page_count,text_chars,has_text,ocr,extraction_tool,extraction_options,extracted_at_utc,pdf_title,pdf_author,pdf_subject,pdf_creator,pdf_producer,pdf_creation_date,pdf_mod_date
Situasjonsplan (1).pdf,Situasjonsplan (1).pdf,ai_db_output/json/Situasjonsplan (1).json,ai_db_output/markdown/Situasjonsplan (1).md,448089,2026-01-26T18:50:59.105075+00:00,1680178662814ff2cca7c902338fd4cc992532ac35858a8703991fc5983fc782,1,53,True,False,pdftotext,-layout,2026-01-26T19:16:03.543934+00:00,Microsoft Word - Situasjonsplan,,,,"PixEdit AS,  PixToolsLib Version 2.6.5.14",Fri Feb 16 11:04:57 2024 CET,Mon Mar 18 16:44:25 2024 CET
Situasjonsplan.pdf,Situasjonsplan.pdf,ai_db_output/json/Situasjonsplan.json,ai_db_output/markdown/Situasjonsplan.md,952493,2026-01-26T18:45:22.076116+00:00,bfefb823d96ec202ed525db18842527cad69fe6b829f33a1339340c650b1f96e,1,6504,True,False,pdftotext,-layout,2026-01-26T19:16:03.593901+00:00,Skriv ut klipp,John Christer Andreassen,,,"Sikri AS,  PixEdit Converter Server Core Version 2.11.1.20",Sat Sep 13 03:45:58 2025 CEST,Sat Sep 13 03:45:58 2025 CEST
Sluttrapport_med_avfallsplan.pdf,Sluttrapport_med_avfallsplan.pdf,ai_db_output/json/Sluttrapport_med_avfallsplan.json,ai_db_output/markdown/Sluttrapport_med_avfallsplan.md,324530,2026-01-26T18:46:31.131133+00:00,87dfe420fd3feb75c09607007ecea8f9c2cb422f0a195ff2470d69d56192b8fa,2,13772,True,False,pdftotext,-layout,2026-01-26T19:16:03.626568+00:00,Avfallsplan Skøyen Terrasse 1-sluttrapport.pdf,Fredrik Normann,,,Microsoft: Print To PDF,Fri Aug 22 11:58:41 2025 CEST,Mon Aug 25 13:32:50 2025 CEST
Snitt_forsterkning_akse_C.pdf,Snitt_forsterkning_akse_C.pdf,ai_db_output/json/Snitt_forsterkning_akse_C.json,ai_db_output/markdown/Snitt_forsterkning_akse_C.md,2751065,2026-01-26T18:51:10.697352+00:00,b8251a930ad868b554320368137b925c919f80c7c0174afa930e1aaeb060febc,1,13337,True,False,pdftotext,-layout,2026-01-26T19:16:03.662967+00:00,P30-4,,Skøyen Terrasse 01 - 1007416,Tekla Structures 2021 Service Pack 10,"PixEdit AS,  PixToolsLib Version 2.6.5.14",Thu Mar  7 17:18:15 2024 CET,Mon Mar 18 16:44:30 2024 CET
Snitt_forsterkning_akse_D.pdf,Snitt_forsterkning_akse_D.pdf,ai_db_output/json/Snitt_forsterkning_akse_D.json,ai_db_output/markdown/Snitt_forsterkning_akse_D.md,3413386,2026-01-26T18:50:38.026299+00:00,bcf747f50273445737918f556133e686113960f94df4c04dfa3a0b6c58f8b49a,1,27645,True,False,pdftotext,-layout,2026-01-26T19:16:03.707382+00:00,P30-5,,Skøyen Terrasse 01 - 1007416,Tekla Structures 2021 Service Pack 10,"PixEdit AS,  PixToolsLib Version 2.6.5.14",Thu Mar  7 17:18:15 2024 CET,Mon Mar 18 16:44:31 2024 CET
Soeknad_om_ferdigattest.pdf,Soeknad_om_ferdigattest.pdf,ai_db_output/json/Soeknad_om_ferdigattest.json,ai_db_output/markdown/Soeknad_om_ferdigattest.md,127708,2026-01-26T18:46:14.641002+00:00,38aa6d48083c37edb4aca88b0067fbdd9c1f7a07f923a2cee08988c5bde4f4a8,3,4282,True,False,pdftotext,-layout,2026-01-26T19:16:03.747461+00:00,,,,EO.Pdf,EO.Pdf 20.2.63.0,,
Soeknad_om_rammetillatelse.pdf,Soeknad_om_rammetillatelse.pdf,ai_db_output/json/Soeknad_om_rammetillatelse.json,ai_db_output/markdown/Soeknad_om_rammetillatelse.md,2902974,2026-01-26T19:00:38.296633+00:00,c51639353487957c7493b8e4eb05db6fb6eb8198cddbacf212a1bb88cdead3ca,4,9841,True,False,pdftotext,-layout,2026-01-26T19:16:03.783864+00:00,,pbejob,,,"PixEdit AS,  PixToolsLib Version 2.6.4.6",Mon Dec 15 12:30:10 2014 CET,Tue Jan 14 12:03:11 2020 CET
Tilsynsrapport_-_Hoffsveien_17_-_19_-_Hovfaret_10_-_14.pdf,Tilsynsrapport_-_Hoffsveien_17_-_19_-_Hovfaret_10_-_14.pdf,ai_db_output/json/Tilsynsrapport_-_Hoffsveien_17_-_19_-_Hovfaret_10_-_14.json,ai_db_output/markdown/Tilsynsrapport_-_Hoffsveien_17_-_19_-_Hovfaret_10_-_14.md,448074,2026-01-26T19:00:28.353182+00:00,def838c88a67917f997f37dd07b5f6482d87727720b747005dfa023e00e459d9,2,2394,True,False,pdftotext,-layout,2026-01-26T19:16:03.813502+00:00,,pbejobber,,Microsoft® Word 2010,"PixEdit AS,  PixToolsLib Version 2.6.5.14",Mon Aug 17 12:09:55 2020 CEST,Mon Aug 17 12:09:56 2020 CEST
Tiltaksplan_for_forurenset_grunn.pdf,Tiltaksplan_for_forurenset_grunn.pdf,ai_db_output/json/Tiltaksplan_for_forurenset_grunn.json,ai_db_output/markdown/Tiltaksplan_for_forurenset_grunn.md,8167750,2026-01-26T19:01:25.862447+00:00,6302b9fe7134adedbf100503c25d950d1ac43f4b9920318431ace3ed04f141df,16,38193,True,False,pdftotext,-layout,2026-01-26T19:16:03.855285+00:00,Tiltaksplan for forurenset grunn,Søvik Marthe-Lise,,Microsoft® Word 2013,"PixEdit AS,  PixToolsLib Version 2.6.0.5",Wed Mar 15 09:15:05 2017 CET,Fri Mar 15 09:44:46 2019 CET
showfile.pdf,showfile.pdf,ai_db_output/json/showfile.json,ai_db_output/markdown/showfile.md,269381,2026-01-26T18:48:02.794984+00:00,9f9b3a789922d74ca988942135ddd975753c6d116eb7c66c6376b353cb5e8e8b,1,19434,True,False,pdftotext,-layout,2026-01-26T19:16:03.897216+00:00,,,,PDFium,PDFium,Mon Jan 26 20:48:01 2026 CET,
vedlegg-5---skoyen-i-berg---miljogeologisk-datarapport-og-tiltaksplan (1).pdf,vedlegg-5---skoyen-i-berg---miljogeologisk-datarapport-og-tiltaksplan (1).pdf,ai_db_output/json/vedlegg-5---skoyen-i-berg---miljogeologisk-datarapport-og-tiltaksplan (1).json,ai_db_output/markdown/vedlegg-5---skoyen-i-berg---miljogeologisk-datarapport-og-tiltaksplan (1).md,13281340,2026-01-26T18:35:05.549966+00:00,036b33092077bdfa84bd17670930239bffa2a7eb36d21f6a1dd8fbcb8aaa26a8,300,1711499,True,False,pdftotext,-layout,2026-01-26T19:16:04.304288+00:00,,,,,,Wed Apr 15 13:52:23 2020 CEST,Wed Apr 15 13:52:23 2020 CEST
vedlegg-5---skoyen-i-berg---miljogeologisk-datarapport-og-tiltaksplan.pdf,vedlegg-5---skoyen-i-berg---miljogeologisk-datarapport-og-tiltaksplan.pdf,ai_db_output/json/vedlegg-5---skoyen-i-berg---miljogeologisk-datarapport-og-tiltaksplan.json,ai_db_output/markdown/vedlegg-5---skoyen-i-berg---miljogeologisk-datarapport-og-tiltaksplan.md,13281340,2026-01-26T18:34:26.599350+00:00,036b33092077bdfa84bd17670930239bffa2a7eb36d21f6a1dd8fbcb8aaa26a8,300,1711499,True,False,pdftotext,-layout,2026-01-26T19:16:04.773703+00:00,,,,,,Wed Apr 15 13:52:23 2020 CEST,Wed Apr 15 13:52:23 2020 CEST
